,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,NAME,STATE,COUNTY,GEO_TRACT
220,4073,3269,372,3840,233,3137,"Census Tract 74, Milwaukee County, Wisconsin",55,079,007400
221,5787,5388,20,5675,112,5292,"Census Tract 1503.01, Milwaukee County, Wisconsin",55,079,150301
222,7222,6350,84,6308,914,5700,"Census Tract 1602.02, Milwaukee County, Wisconsin",55,079,160202
223,3981,3593,163,3505,476,3200,"Census Tract 1702, Milwaukee County, Wisconsin",55,079,170200
224,4854,4381,113,4366,488,4064,"Census Tract 1852, Milwaukee County, Wisconsin",55,079,185200
225,3495,1332,1543,3298,197,1250,"Census Tract 3.04, Milwaukee County, Wisconsin",55,079,000304
226,4996,1128,3142,4788,208,1020,"Census Tract 8, Milwaukee County, Wisconsin",55,079,000800
227,4261,441,2790,4037,224,408,"Census Tract 13, Milwaukee County, Wisconsin",55,079,001300
228,3089,338,2451,2913,176,307,"Census Tract 16, Milwaukee County, Wisconsin",55,079,001600
229,1961,152,1789,1961,0,152,"Census Tract 27, Milwaukee County, Wisconsin",55,079,002700
230,4121,618,2848,3765,356,372,"Census Tract 31, Milwaukee County, Wisconsin",55,079,003100
231,2711,386,1847,2607,104,345,"Census Tract 32, Milwaukee County, Wisconsin",55,079,003200
232,6160,1841,3380,6006,154,1840,"Census Tract 34, Milwaukee County, Wisconsin",55,079,003400
233,1703,1456,84,1680,23,1433,"Census Tract 111, Milwaukee County, Wisconsin",55,079,011100
234,2341,94,1913,2333,8,94,"Census Tract 90, Milwaukee County, Wisconsin",55,079,009000
235,1683,117,571,1566,117,59,"Census Tract 97, Milwaukee County, Wisconsin",55,079,009700
236,2408,1971,175,2315,93,1935,"Census Tract 143, Milwaukee County, Wisconsin",55,079,014300
237,5157,4181,644,4663,494,3708,"Census Tract 1010, Milwaukee County, Wisconsin",55,079,101000
238,1635,1585,7,1540,95,1495,"Census Tract 182, Milwaukee County, Wisconsin",55,079,018200
239,2312,2151,42,2072,240,1928,"Census Tract 183, Milwaukee County, Wisconsin",55,079,018300
240,3227,2885,24,2979,248,2804,"Census Tract 208, Milwaukee County, Wisconsin",55,079,020800
241,3163,3020,0,3099,64,3020,"Census Tract 907, Milwaukee County, Wisconsin",55,079,090700
242,3981,3501,239,3828,153,3382,"Census Tract 909, Milwaukee County, Wisconsin",55,079,090900
243,3772,3562,4,3660,112,3487,"Census Tract 913, Milwaukee County, Wisconsin",55,079,091300
244,3625,2822,191,3111,514,2627,"Census Tract 1005, Milwaukee County, Wisconsin",55,079,100500
245,2882,2693,39,2744,138,2568,"Census Tract 1008, Milwaukee County, Wisconsin",55,079,100800
246,3480,2676,344,2974,506,2488,"Census Tract 1202.03, Milwaukee County, Wisconsin",55,079,120203
247,5288,4467,167,4848,440,4138,"Census Tract 1205.02, Milwaukee County, Wisconsin",55,079,120502
248,5235,4726,43,4915,320,4593,"Census Tract 1402.01, Milwaukee County, Wisconsin",55,079,140201
249,2723,1998,486,2701,22,1988,"Census Tract 73, Milwaukee County, Wisconsin",55,079,007300
250,4139,32,4028,4139,0,32,"Census Tract 47, Milwaukee County, Wisconsin",55,079,004700
251,3697,1007,2387,3255,442,770,"Census Tract 59, Milwaukee County, Wisconsin",55,079,005900
252,2411,164,2029,2214,197,140,"Census Tract 60, Milwaukee County, Wisconsin",55,079,006000
253,999,21,960,999,0,21,"Census Tract 86, Milwaukee County, Wisconsin",55,079,008600
254,1236,123,1010,1184,52,74,"Census Tract 89, Milwaukee County, Wisconsin",55,079,008900
255,2600,1324,975,2462,138,1240,"Census Tract 93, Milwaukee County, Wisconsin",55,079,009300
256,2113,1570,427,1953,160,1466,"Census Tract 95, Milwaukee County, Wisconsin",55,079,009500
257,1361,527,577,1085,276,404,"Census Tract 106, Milwaukee County, Wisconsin",55,079,010600
258,2424,1751,351,1938,486,1554,"Census Tract 107, Milwaukee County, Wisconsin",55,079,010700
259,3582,2147,1200,3522,60,2102,"Census Tract 58, Milwaukee County, Wisconsin",55,079,005800
260,2287,239,1816,2144,143,209,"Census Tract 61, Milwaukee County, Wisconsin",55,079,006100
261,2685,75,2574,2675,10,65,"Census Tract 62, Milwaukee County, Wisconsin",55,079,006200
262,1347,66,1166,1330,17,64,"Census Tract 67, Milwaukee County, Wisconsin",55,079,006700
263,4522,842,3336,4171,351,692,"Census Tract 49, Milwaukee County, Wisconsin",55,079,004900
264,3604,3137,101,3152,452,2710,"Census Tract 1706, Milwaukee County, Wisconsin",55,079,170600
265,2367,124,1740,2281,86,124,"Census Tract 91, Milwaukee County, Wisconsin",55,079,009100
266,3124,670,2216,3022,102,642,"Census Tract 44, Milwaukee County, Wisconsin",55,079,004400
267,2412,47,2244,2359,53,40,"Census Tract 63, Milwaukee County, Wisconsin",55,079,006300
268,1740,459,1036,1609,131,445,"Census Tract 92, Milwaukee County, Wisconsin",55,079,009200
269,2297,1873,230,2125,172,1720,"Census Tract 112, Milwaukee County, Wisconsin",55,079,011200
270,1132,249,849,1001,131,136,"Census Tract 123, Milwaukee County, Wisconsin",55,079,012300
271,1922,1539,125,1388,534,1109,"Census Tract 130, Milwaukee County, Wisconsin",55,079,013000
272,1782,1605,85,1654,128,1483,"Census Tract 1011, Milwaukee County, Wisconsin",55,079,101100
