,MEDIAN INCOME,TOTAL POP FOR POV RATES,TOTAL POP INCOME BELOW POV RATE,WHITE POP INCOME BELOW POV RATE,BLACK POP INCOME BELOW POV RATE,POP BELOW .50 INCOME POV RATIO,POP .50-.99 INCOME POV RATIO,POP 1.00-1.24 INCOME POV RATIO,NAME,STATE,COUNTY,GEO_TRACT
93,19600,1442,753,7,591,265,488,172,"Census Tract 1854, Milwaukee County, Wisconsin",55,079,185400
94,23906,1747,560,9,542,258,302,166,"Census Tract 1855, Milwaukee County, Wisconsin",55,079,185500
95,24323,1611,541,113,428,232,309,76,"Census Tract 1856, Milwaukee County, Wisconsin",55,079,185600
96,21347,1867,762,66,548,467,295,214,"Census Tract 1857, Milwaukee County, Wisconsin",55,079,185700
97,39405,1597,558,10,436,252,306,64,"Census Tract 1858, Milwaukee County, Wisconsin",55,079,185800
98,54167,980,171,5,88,70,101,210,"Census Tract 1859, Milwaukee County, Wisconsin",55,079,185900
99,13590,1462,675,63,539,298,377,221,"Census Tract 1860, Milwaukee County, Wisconsin",55,079,186000
100,18484,1967,1024,27,905,463,561,198,"Census Tract 1861, Milwaukee County, Wisconsin",55,079,186100
101,18821,1477,844,21,813,600,244,78,"Census Tract 1862, Milwaukee County, Wisconsin",55,079,186200
102,63036,1878,443,297,113,336,107,40,"Census Tract 1863, Milwaukee County, Wisconsin",55,079,186300
103,11364,381,234,153,67,130,104,7,"Census Tract 1864, Milwaukee County, Wisconsin",55,079,186400
104,40195,1888,533,84,18,222,311,36,"Census Tract 1865, Milwaukee County, Wisconsin",55,079,186500
105,36667,2200,957,598,92,233,724,208,"Census Tract 1866, Milwaukee County, Wisconsin",55,079,186600
106,16985,1575,705,260,272,321,384,106,"Census Tract 1868, Milwaukee County, Wisconsin",55,079,186800
107,54710,2170,242,197,23,102,140,55,"Census Tract 1869, Milwaukee County, Wisconsin",55,079,186900
108,70769,1485,47,47,0,34,13,21,"Census Tract 3.01, Milwaukee County, Wisconsin",55,079,000301
109,32988,3561,1277,165,646,820,457,198,"Census Tract 15, Milwaukee County, Wisconsin",55,079,001500
110,26250,2022,675,47,628,310,365,67,"Census Tract 21, Milwaukee County, Wisconsin",55,079,002100
111,30638,3935,1241,61,1143,473,768,308,"Census Tract 23, Milwaukee County, Wisconsin",55,079,002300
112,59160,3385,433,274,103,271,162,77,"Census Tract 1870, Milwaukee County, Wisconsin",55,079,187000
113,58536,6478,484,414,4,224,260,239,"Census Tract 1601, Milwaukee County, Wisconsin",55,079,160100
