,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,MEDIAN INCOME,TOTAL POP IN HOUSING UNITS,RENTER OCCUPIED HOUSING UNITS,NAME,STATE,COUNTY,GEO_TRACT
287,1017,447,362,850,167,348,32277,1017,555,"Census Tract 133, Milwaukee County, Wisconsin",55,079,013300
288,4334,1040,452,901,3433,283,31968,4334,3094,"Census Tract 164, Milwaukee County, Wisconsin",55,079,016400
289,3436,3001,168,3062,374,2768,51587,3421,1415,"Census Tract 196, Milwaukee County, Wisconsin",55,079,019600
290,2969,1388,362,1133,1836,479,26979,2969,1682,"Census Tract 160, Milwaukee County, Wisconsin",55,079,016000
291,4825,4174,359,4627,198,4092,86372,4802,1062,"Census Tract 910, Milwaukee County, Wisconsin",55,079,091000
292,4173,3021,647,2908,1265,2136,38235,4148,2040,"Census Tract 1101, Milwaukee County, Wisconsin",55,079,110100
293,3801,249,3476,3719,82,168,32246,3771,2249,"Census Tract 48, Milwaukee County, Wisconsin",55,079,004800
294,2068,179,1194,1812,256,76,26816,2066,1520,"Census Tract 96, Milwaukee County, Wisconsin",55,079,009600
295,2077,1675,190,1945,132,1630,70026,2066,717,"Census Tract 125, Milwaukee County, Wisconsin",55,079,012500
296,3049,666,1978,2623,426,472,37179,3039,2009,"Census Tract 18, Milwaukee County, Wisconsin",55,079,001800
